t,o,h,l,c,v
1705991760,45.15,45.2,44.85,45,794824
1705991940,45,45,44.65,44.8,746191
1705992120,44.75,45,44.75,44.9,550909
1705992300,44.9,45.25,44.9,45.15,379018
1705992480,45.05,45.1,44.95,45.05,265529
1705992660,45.05,45.15,44.95,44.95,116489
1705992840,45,45.15,44.95,45.1,116330
1705993020,45.05,45.2,45.05,45.1,189888
1705993200,45.15,45.3,45.1,45.25,259923
1705993380,45.25,45.4,45.25,45.35,180497
1705993560,45.35,45.4,45.3,45.3,121002
1705993740,45.35,45.35,45.15,45.2,118216
1705993920,45.2,45.25,45.15,45.25,52362
1705994100,45.2,45.25,45.05,45.1,125135
1705994280,45.1,45.35,45.05,45.35,113327
1705994460,45.3,45.4,45.2,45.3,99401
1705994640,45.25,45.35,45.2,45.3,67293
1705994820,45.3,45.3,45.1,45.15,187385
1705995000,45.2,45.35,45.15,45.25,77634
1705995180,45.3,45.35,45.25,45.3,33784
1705995360,45.3,45.3,45.15,45.2,133255
1705995540,45.2,45.2,45.05,45.1,184324
1705995720,45.1,45.25,45.05,45.2,132531
1705995900,45.2,45.2,45.05,45.05,193419
1705996080,45.1,45.1,45,45,229640
1705996260,45.1,45.1,45,45,121240
1705996440,45,45,44.9,44.9,248925
1705996620,45,45.1,44.8,45.1,300055
1705996800,45.15,45.2,45,45.05,103769
1705996980,45.1,45.15,45,45.1,75524
1705997160,45.1,45.2,45.1,45.2,101331
1705997340,45.15,45.15,45.05,45.15,75973
1705997520,45.15,45.2,45.05,45.2,108406
1705997700,45.15,45.4,45.15,45.35,187563
1705997880,45.35,45.35,45.2,45.2,96258
1705998060,45.15,45.2,45.1,45.15,92509
1705998240,45.15,45.2,45.05,45.05,174384
1705998420,45.05,45.1,44.95,45,283697
1705998600,45,45.15,44.95,45.1,224070
1705998780,45.15,45.25,45.1,45.1,136155
1705998960,45.2,45.2,44.95,45,109830
1705999140,45.05,45.1,44.95,45.1,121706
1705999320,45.1,45.1,44.95,44.95,88761
1705999500,44.95,45,44.8,44.9,218904
1705999680,44.9,45,44.8,44.9,96186
1705999860,44.8,44.85,44.65,44.65,244471
1706000040,44.7,44.7,44.35,44.35,351892
1706000220,44.4,44.45,44.2,44.3,293288
1706000400,44.25,44.6,44.25,44.5,447871
1706000580,44.55,44.6,44.35,44.35,321577
1706000760,44.35,44.4,44.05,44.05,318416
1706000940,44.05,44.05,43.6,43.8,759062
1706001120,43.8,43.85,43.65,43.75,420461
1706001300,43.85,44,43.8,43.9,273396
1706001480,43.9,44.1,43.9,44.1,355480
1706001660,44.1,44.15,43.95,44,160104
1706001840,44,44,43.85,43.85,208097
1706002020,43.85,43.95,43.8,43.95,105803
1706002200,43.9,44.05,43.8,43.85,319380
1706002380,43.8,43.95,43.75,43.9,286807
1706002560,43.9,43.9,43.7,43.75,191323
1706002740,43.75,43.85,43.6,43.75,278668
1706002920,43.75,43.8,43.7,43.7,366525
1706003100,43.7,43.7,43.55,43.55,310753
1706003280,43.5,43.65,43.4,43.4,708633
1706003460,43.5,43.7,43.5,43.7,228817
1706003640,43.65,43.9,43.6,43.85,295747
1706003820,43.9,44,43.55,44,664705
1706004000,43.85,43.85,43.7,43.7,1001
1706067900,44.1,44.3,43.75,44.1,930996
1706068080,44,44,43.55,43.85,684997
1706068260,43.9,44.3,43.9,44.3,576737
1706068440,44.3,44.35,44.15,44.35,560019
1706068620,44.4,44.6,44.3,44.5,765593
1706068800,44.5,44.6,44.5,44.6,364050
1706068980,44.55,44.7,44.45,44.45,615118
1706069160,44.55,44.6,44.45,44.55,275494
1706069340,44.55,44.7,44.55,44.6,514019
1706069520,44.65,44.65,44.55,44.6,332336
1706069700,44.6,45.15,44.6,45.15,690761
1706069880,45.15,45.15,44.85,45.05,349722
1706070060,45.1,45.15,45,45.15,271851
1706070240,45.15,45.15,45.05,45.05,174773
1706070420,45.05,45.1,44.9,44.9,223018
1706070600,44.9,45.1,44.9,44.95,253594
1706070780,44.95,44.95,44.4,44.5,864863
1706070960,44.55,44.7,44.5,44.65,185967
1706071140,44.65,44.65,44.5,44.5,256549
1706071320,44.55,44.65,44.55,44.55,116836
1706071500,44.6,44.65,44.55,44.65,58233
1706071680,44.65,44.75,44.6,44.75,155289
1706071860,44.7,44.9,44.7,44.8,246757
1706072040,44.75,44.8,44.75,44.75,164315
1706072220,44.8,44.9,44.8,44.8,203976
1706072400,44.8,44.85,44.7,44.75,115407
1706072580,44.7,44.9,44.7,44.85,205124
1706072760,44.9,45,44.85,44.85,196934
1706072940,44.85,44.95,44.8,44.9,67146
1706073120,44.9,44.9,44.8,44.85,133760
1706073300,44.85,44.85,44.6,44.6,411340
1706073480,44.65,44.65,44.5,44.55,275381
1706073660,44.55,44.7,44.55,44.7,91609
1706073840,44.75,44.8,44.65,44.75,108249
1706074020,44.7,44.75,44.6,44.6,77081
1706074200,44.6,44.75,44.6,44.75,27108
1706074380,44.75,44.75,44.7,44.75,23536
1706074560,44.8,44.85,44.75,44.8,78729
1706074740,44.85,44.85,44.75,44.8,53368
1706074920,44.75,44.85,44.7,44.7,44856
1706075100,44.7,45,44.65,44.95,547401
1706075280,45,45.3,45,45.25,540431
1706075460,45.3,45.45,45.25,45.4,830135
1706075640,45.45,45.45,45.15,45.2,302501
1706075820,45.2,45.25,45.05,45.1,298104
1706076000,45.1,45.1,44.85,44.9,402223
1706076180,44.9,45,44.8,44.95,454483
1706076360,44.95,45.1,44.85,44.85,232521
1706076540,44.9,44.95,44.8,44.85,214067
